Start Date,Overs,Mdns,Runs,Wkts
14-Jan-05,96.2,2,465,12
16-Jan-05,93,2,519,13
19-Jan-05,97,3,538,9
20-Jan-05,98.1,3,475,15
21-Jan-05,61,5,301,13
23-Jan-05,75.4,8,318,10
24-Jan-05,97.1,2,433,12
26-Jan-05,97.5,1,442,19
26-Jan-05,94.5,4,455,17
28-Jan-05,100,3,603,12
29-Jan-05,97.2,2,425,17
30-Jan-05,97.2,3,520,16
30-Jan-05,75.1,10,262,12
31-Jan-05,82,7,397,10
01-Feb-05,98.1,1,577,16
02-Feb-05,100,2,527,11
04-Feb-05,99,5,444,17
04-Feb-05,99.1,3,519,15
06-Feb-05,95.4,3,439,17
06-Feb-05,91.2,3,462,12
09-Feb-05,100,1,606,10
11-Feb-05,50.1,4,209,12
13-Feb-05,98.5,6,479,15
19-Feb-05,98.4,7,454,16
22-Feb-05,90.4,4,518,13
25-Feb-05,87.2,4,425,16
26-Feb-05,91.5,3,432,11
27-Feb-05,100,3,518,13
01-Mar-05,84.1,6,453,12
02-Mar-05,96.3,6,408,10
05-Mar-05,100,3,563,11
02-Apr-05,95.2,7,462,17
05-Apr-05,94.1,0,646,17
09-Apr-05,91.4,2,523,17
12-Apr-05,96,0,621,9
15-Apr-05,92.1,7,486,10
17-Apr-05,87,2,436,15
07-May-05,93.5,4,501,11
08-May-05,76.4,9,273,9
11-May-05,99.5,0,553,15
14-May-05,96.5,4,460,12
15-May-05,39.1,1,270,9
18-May-05,89.5,6,322,17
21-May-05,98.2,5,466,14
22-May-05,99.3,3,575,16
16-Jun-05,70.1,3,373,9
18-Jun-05,99.2,7,484,9
19-Jun-05,97.3,4,498,15
21-Jun-05,95.2,4,609,14
23-Jun-05,100,6,455,13
25-Jun-05,54.2,4,273,10
26-Jun-05,88.5,3,412,11
28-Jun-05,56,4,293,9
30-Jun-05,98.1,1,492,12
02-Jul-05,98.5,14,369,17
07-Jul-05,96,3,423,8
10-Jul-05,94.2,6,442,11
12-Jul-05,84.5,7,454,8
30-Jul-05,98.2,8,401,14
31-Jul-05,83.4,9,345,13
02-Aug-05,95.1,12,414,14
03-Aug-05,98,3,428,12
06-Aug-05,97,10,409,13
07-Aug-05,100,4,506,12
09-Aug-05,100,3,534,13
17-Aug-05,92.4,9,385,19
20-Aug-05,99.2,6,501,13
21-Aug-05,35.5,7,106,10
24-Aug-05,87,4,588,14
26-Aug-05,80.3,9,372,18
29-Aug-05,74.3,7,285,16
31-Aug-05,100,8,438,15
31-Aug-05,98.1,7,439,19
02-Sep-05,100,3,503,11
02-Sep-05,97.3,3,538,11
04-Sep-05,59.4,7,211,13
04-Sep-05,98.1,7,491,13
06-Sep-05,97.4,5,540,14
05-Oct-05,91.3,7,408,17
07-Oct-05,95.3,3,596,11
09-Oct-05,77.5,3,417,14
23-Oct-05,99.3,7,482,15
25-Oct-05,85.4,1,541,15
28-Oct-05,56,4,240,11
28-Oct-05,97.5,6,377,19
